Date,Product,Category,Price,Quantity,Sales,Country,Region,Payment_Method
2023-06-15,Headphones,Electronics,358,3,1074,Spain,East,Cash
2023-08-24,Tablet,Electronics,1842,6,11052,Spain,West,Cash
2023-04-03,Headphones,Electronics,362,1,362,France,West,Cash
2023-02-26,Monitor,Electronics,58,6,348,Spain,North,Cash
2023-02-10,Monitor,Electronics,956,2,1912,Morocco,West,Cash
2023-11-04,Keyboard,Electronics,213,4,852,Spain,South,Cash
2023-01-31,Laptop,Electronics,1127,7,7889,France,East,Cash
2023-11-26,Laptop,Electronics,1711,1,1711,Germany,North,Card
2023-10-26,Keyboard,Electronics,1522,7,10654,Italy,North,Card
2023-02-25,Headphones,Electronics,1932,5,9660,Spain,West,Card
2023-10-24,Table,Furniture,1082,2,2164,France,North,Card
2023-03-09,Laptop,Electronics,704,4,2816,Germany,South,Card
2023-07-19,Keyboard,Electronics,97,2,194,Italy,West,Cash
2023-04-12,Phone,Electronics,1638,2,3276,Italy,West,Online
2023-03-12,Tablet,Electronics,1926,10,19260,Spain,West,Online
2023-12-14,Phone,Electronics,1228,8,9824,Spain,West,Online
2023-02-21,Notebook,Stationery,1946,2,3892,Italy,East,Card
2023-10-30,Tablet,Electronics,154,5,770,Spain,East,Online
2023-02-22,Pen,Stationery,548,4,2192,France,East,Card
2023-07-02,Table,Furniture,955,8,7640,Germany,East,Card
2023-02-21,Tablet,Electronics,1517,3,4551,Germany,South,Online
2023-06-20,Table,Furniture,1603,4,6412,Spain,East,Online
2023-11-09,Laptop,Electronics,460,9,4140,Morocco,South,Cash
2023-05-21,Pen,Stationery,957,3,2871,Morocco,West,Card
2023-11-06,Headphones,Electronics,318,2,636,Morocco,South,Cash
2023-11-17,Monitor,Electronics,69,10,690,France,North,Card
2023-10-18,Pen,Stationery,1055,7,7385,Italy,South,Cash
2023-09-14,Laptop,Electronics,1287,1,1287,Germany,North,Online
2023-05-31,Chair,Furniture,840,6,5040,France,North,Online
2023-07-01,Headphones,Electronics,771,9,6939,Germany,South,Online
2023-09-21,Table,Furniture,671,2,1342,France,South,Cash
2023-02-21,Phone,Electronics,444,5,2220,Morocco,East,Cash
2023-12-23,Monitor,Electronics,1374,7,9618,Italy,West,Card
2023-12-18,Headphones,Electronics,979,4,3916,Germany,West,Cash
2023-09-02,Keyboard,Electronics,1498,8,11984,Germany,South,Card
2023-12-11,Pen,Stationery,81,8,648,France,North,Online
2023-12-15,Phone,Electronics,950,5,4750,Morocco,West,Cash
2023-11-07,Phone,Electronics,1730,8,13840,Morocco,West,Card
2023-04-11,Headphones,Electronics,941,3,2823,Italy,North,Card
2023-12-16,Laptop,Electronics,206,1,206,Germany,North,Online
2023-12-11,Table,Furniture,77,3,231,France,East,Card
2023-09-25,Keyboard,Electronics,293,4,1172,Italy,South,Online
2023-03-27,Tablet,Electronics,1711,9,15399,Italy,North,Card
2023-07-06,Tablet,Electronics,86,9,774,Morocco,South,Cash
2023-05-16,Headphones,Electronics,1564,2,3128,Italy,South,Card
2023-08-16,Notebook,Stationery,1623,7,11361,Spain,South,Card
2023-01-20,Notebook,Stationery,1704,1,1704,France,East,Card
2023-04-23,Pen,Stationery,1759,2,3518,Italy,East,Card
2023-07-28,Table,Furniture,206,4,824,Spain,North,Cash
2023-08-08,Keyboard,Electronics,1845,9,16605,Italy,West,Cash
2023-08-09,Monitor,Electronics,470,4,1880,France,North,Card
2023-02-17,Monitor,Electronics,1454,3,4362,Germany,North,Cash
2023-06-14,Tablet,Electronics,1821,3,5463,Italy,West,Cash
2023-06-15,Chair,Furniture,449,6,2694,Spain,South,Online
2023-11-09,Pen,Stationery,180,5,900,Germany,South,Cash
2023-06-22,Pen,Stationery,1118,1,1118,Morocco,North,Card
2023-05-04,Monitor,Electronics,1931,1,1931,France,East,Cash
2023-07-09,Laptop,Electronics,1446,1,1446,Spain,North,Card
2023-02-04,Keyboard,Electronics,1124,9,10116,France,East,Card
2023-01-14,Keyboard,Electronics,1280,8,10240,Germany,South,Cash
